,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
31,"Mon, Jan 5, 2015",8:00p,New York Knicks,83,Memphis Grizzlies,105,Box Score,,16888,
32,"Mon, Jan 5, 2015",8:00p,Denver Nuggets,110,Minnesota Timberwolves,101,Box Score,,10386,
33,"Mon, Jan 5, 2015",8:00p,Washington Wizards,92,New Orleans Pelicans,85,Box Score,,16182,
34,"Mon, Jan 5, 2015",9:00p,Indiana Pacers,105,Utah Jazz,101,Box Score,,17378,
35,"Mon, Jan 5, 2015",10:00p,Los Angeles Lakers,94,Portland Trail Blazers,98,Box Score,,19827,
36,"Mon, Jan 5, 2015",10:30p,Oklahoma City Thunder,91,Golden State Warriors,117,Box Score,,19596,
37,"Mon, Jan 5, 2015",10:30p,Atlanta Hawks,107,Los Angeles Clippers,98,Box Score,,19060,
38,"Tue, Jan 6, 2015",8:00p,Phoenix Suns,102,Milwaukee Bucks,96,Box Score,,12311,
39,"Tue, Jan 6, 2015",8:30p,Detroit Pistons,105,San Antonio Spurs,104,Box Score,,18581,
40,"Wed, Jan 7, 2015",7:00p,New Orleans Pelicans,94,Charlotte Hornets,98,Box Score,,15171,
41,"Wed, Jan 7, 2015",7:00p,Houston Rockets,105,Cleveland Cavaliers,93,Box Score,,20562,
42,"Wed, Jan 7, 2015",7:00p,Milwaukee Bucks,97,Philadelphia 76ers,77,Box Score,,10288,
43,"Wed, Jan 7, 2015",7:00p,New York Knicks,91,Washington Wizards,101,Box Score,,16902,
44,"Wed, Jan 7, 2015",7:30p,Memphis Grizzlies,86,Atlanta Hawks,96,Box Score,,17126,
45,"Wed, Jan 7, 2015",7:30p,Boston Celtics,89,Brooklyn Nets,81,Box Score,,16005,
46,"Wed, Jan 7, 2015",8:00p,Utah Jazz,97,Chicago Bulls,77,Box Score,,21379,
47,"Wed, Jan 7, 2015",8:30p,Detroit Pistons,108,Dallas Mavericks,95,Box Score,,20279,
48,"Wed, Jan 7, 2015",9:00p,Orlando Magic,90,Denver Nuggets,93,Box Score,,13513,
49,"Wed, Jan 7, 2015",9:30p,Phoenix Suns,113,Minnesota Timberwolves,111,Box Score,,10547,
50,"Wed, Jan 7, 2015",10:00p,Oklahoma City Thunder,83,Sacramento Kings,104,Box Score,,16037,
51,"Wed, Jan 7, 2015",10:30p,Indiana Pacers,102,Golden State Warriors,117,Box Score,,19596,
52,"Wed, Jan 7, 2015",10:30p,Los Angeles Lakers,89,Los Angeles Clippers,114,Box Score,,19487,
53,"Thu, Jan 8, 2015",7:30p,Charlotte Hornets,103,Toronto Raptors,95,Box Score,,19800,
54,"Thu, Jan 8, 2015",8:00p,Houston Rockets,120,New York Knicks,96,Box Score,,19812,
55,"Thu, Jan 8, 2015",10:30p,Miami Heat,83,Portland Trail Blazers,99,Box Score,,19441,
56,"Fri, Jan 9, 2015",7:00p,Boston Celtics,103,Indiana Pacers,107,Box Score,OT,18165,
57,"Fri, Jan 9, 2015",7:30p,Philadelphia 76ers,90,Brooklyn Nets,88,Box Score,,16172,
58,"Fri, Jan 9, 2015",7:30p,Atlanta Hawks,106,Detroit Pistons,103,Box Score,,18859,
59,"Fri, Jan 9, 2015",8:00p,Memphis Grizzlies,95,New Orleans Pelicans,106,Box Score,,17639,
60,"Fri, Jan 9, 2015",8:00p,Utah Jazz,94,Oklahoma City Thunder,99,Box Score,,18203,
61,"Fri, Jan 9, 2015",8:00p,Chicago Bulls,86,Washington Wizards,102,Box Score,,20356,
62,"Fri, Jan 9, 2015",8:30p,Minnesota Timberwolves,84,Milwaukee Bucks,98,Box Score,,15480,
63,"Fri, Jan 9, 2015",8:30p,Phoenix Suns,95,San Antonio Spurs,100,Box Score,,18581,
64,"Fri, Jan 9, 2015",10:00p,Denver Nuggets,118,Sacramento Kings,108,Box Score,,16029,
65,"Fri, Jan 9, 2015",10:30p,Cleveland Cavaliers,94,Golden State Warriors,112,Box Score,,19596,
66,"Fri, Jan 9, 2015",10:30p,Orlando Magic,84,Los Angeles Lakers,101,Box Score,,18997,
67,"Sat, Jan 10, 2015",1:00p,Charlotte Hornets,110,New York Knicks,82,Box Score,,19812,
68,"Sat, Jan 10, 2015",3:30p,Dallas Mavericks,100,Los Angeles Clippers,120,Box Score,,19060,
69,"Sat, Jan 10, 2015",7:30p,Brooklyn Nets,93,Detroit Pistons,98,Box Score,,19301,
70,"Sat, Jan 10, 2015",7:30p,Indiana Pacers,92,Philadelphia 76ers,93,Box Score,,17496,
71,"Sat, Jan 10, 2015",7:30p,Boston Celtics,96,Toronto Raptors,109,Box Score,,19800,
72,"Sat, Jan 10, 2015",8:00p,Milwaukee Bucks,87,Chicago Bulls,95,Box Score,,21781,
73,"Sat, Jan 10, 2015",8:00p,Utah Jazz,82,Houston Rockets,97,Box Score,,18235,
74,"Sat, Jan 10, 2015",8:00p,San Antonio Spurs,108,Minnesota Timberwolves,93,Box Score,,17871,
75,"Sat, Jan 10, 2015",10:00p,Orlando Magic,92,Portland Trail Blazers,103,Box Score,,19546,
76,"Sun, Jan 11, 2015",3:00p,Washington Wizards,89,Atlanta Hawks,120,Box Score,,18057,
77,"Sun, Jan 11, 2015",3:30p,Miami Heat,104,Los Angeles Clippers,90,Box Score,,19060,
78,"Sun, Jan 11, 2015",6:00p,Phoenix Suns,110,Memphis Grizzlies,122,Box Score,2OT,17212,
79,"Sun, Jan 11, 2015",9:00p,Cleveland Cavaliers,84,Sacramento Kings,103,Box Score,,16143,
